Instance: chao_1.30b, Solution: SolutionB, Run: 6, Execution time: 1050 ms, Total distance: 555.129
Instance: chao_1.30b, Solution: SolutionB, Run: 7, Execution time: 1048 ms, Total distance: 527.407
Instance: chao_1.30b, Solution: SolutionB, Run: 8, Execution time: 1050 ms, Total distance: 531.776
Instance: chao_1.30b, Solution: SolutionB, Run: 9, Execution time: 1049 ms, Total distance: 544.863
Instance: chao_1.30b, Solution: SolutionB, Run: 10, Execution time: 1052 ms, Total distance: 521.32
Instance: chao_1.30b, Solution: SolutionC, Run: 1, Execution time: 1083 ms, Total distance: 567.047
Instance: chao_1.30b, Solution: SolutionC, Run: 2, Execution time: 1085 ms, Total distance: 533.481
Instance: chao_1.30b, Solution: SolutionC, Run: 3, Execution time: 1060 ms, Total distance: 532.336
Instance: chao_1.30b, Solution: SolutionC, Run: 4, Execution time: 1105 ms, Total distance: 539.513
Instance: chao_1.30b, Solution: SolutionC, Run: 5, Execution time: 1105 ms, Total distance: 522.743
Instance: chao_1.30b, Solution: SolutionC, Run: 6, Execution time: 1124 ms, Total distance: 556.233
Instance: chao_1.30b, Solution: SolutionC, Run: 7, Execution time: 1126 ms, Total distance: 487.047
Instance: chao_1.30b, Solution: SolutionC, Run: 8, Execution time: 1105 ms, Total distance: 550.263
Instance: chao_1.30b, Solution: SolutionC, Run: 9, Execution time: 1070 ms, Total distance: 551.308
Instance: chao_1.30b, Solution: SolutionC, Run: 10, Execution time: 1071 ms, Total distance: 551.541
Instance: chao_1.30b, Solution: SolutionR, Run: 1, Execution time: 1105 ms, Total distance: 539.471
Instance: chao_1.30b, Solution: SolutionR, Run: 2, Execution time: 1050 ms, Total distance: 567.225
Instance: chao_1.30b, Solution: SolutionR, Run: 3, Execution time: 1048 ms, Total distance: 554.937
Instance: chao_1.30b, Solution: SolutionR, Run: 4, Execution time: 1055 ms, Total distance: 589.916
Instance: chao_1.30b, Solution: SolutionR, Run: 5, Execution time: 1054 ms, Total distance: 575.032
Instance: chao_1.30b, Solution: SolutionR, Run: 6, Execution time: 1048 ms, Total distance: 583.788
Instance: chao_1.30b, Solution: SolutionR, Run: 7, Execution time: 1052 ms, Total distance: 539.945
Instance: chao_1.30b, Solution: SolutionR, Run: 8, Execution time: 1057 ms, Total distance: 561.417
Instance: chao_1.30b, Solution: SolutionR, Run: 9, Execution time: 1075 ms, Total distance: 576.404
Instance: chao_1.30b, Solution: SolutionR, Run: 10, Execution time: 1062 ms, Total distance: 
Instance: chao_1.30c, Solution: SolutionB, Run: 1, Execution time: 909 ms, Total distance: 544.469
Instance: chao_1.30c, Solution: SolutionB, Run: 2, Execution time: 917 ms, Total distance: 531.979
Instance: chao_1.30c, Solution: SolutionB, Run: 3, Execution time: 927 ms, Total distance: 505.919
Instance: chao_1.30c, Solution: SolutionB, Run: 4, Execution time: 915 ms, Total distance: 546.04
Instance: chao_1.30c, Solution: SolutionB, Run: 5, Execution time: 904 ms, Total distance: 544.677
Instance: chao_1.30c, Solution: SolutionB, Run: 6, Execution time: 900 ms, Total distance: 543.217
Instance: chao_1.30c, Solution: SolutionB, Run: 7, Execution time: 920 ms, Total distance: 555.016
Instance: chao_1.30c, Solution: SolutionB, Run: 8, Execution time: 902 ms, Total distance: 546.317
Instance: chao_1.30c, Solution: SolutionB, Run: 9, Execution time: 915 ms, Total distance: 573.999
Instance: chao_1.30c, Solution: SolutionB, Run: 10, Execution time: 907 ms, Total distance: 500.304
Instance: chao_1.30c, Solution: SolutionC, Run: 1, Execution time: 994 ms, Total distance: 555.374
Instance: chao_1.30c, Solution: SolutionC, Run: 2, Execution time: 1023 ms, Total distance: 543.661
Instance: chao_1.30c, Solution: SolutionC, Run: 3, Execution time: 1023 ms, Total distance: 532.522
Instance: chao_1.30c, Solution: SolutionC, Run: 4, Execution time: 1007 ms, Total distance: 506.001
Instance: chao_1.30c, Solution: SolutionC, Run: 5, Execution time: 1011 ms, Total distance: 546.49
Instance: chao_1.30c, Solution: SolutionC, Run: 6, Execution time: 1006 ms, Total distance: 557.003
Instance: chao_1.30c, Solution: SolutionC, Run: 7, Execution time: 1014 ms, Total distance: 490.951
Instance: chao_1.30c, Solution: SolutionC, Run: 8, Execution time: 1027 ms, Total distance: 528.323
Instance: chao_1.30c, Solution: SolutionC, Run: 9, Execution time: 1010 ms, Total distance: 540.846
Instance: chao_1.30c, Solution: SolutionC, Run: 10, Execution time: 1014 ms, Total distance: 556.641
Instance: chao_1.30c, Solution: SolutionR, Run: 1, Execution time: 882 ms, Total distance: 566.195
Instance: chao_1.30c, Solution: SolutionR, Run: 2, Execution time: 895 ms, Total distance: 591.051
Instance: chao_1.30c, Solution: SolutionR, Run: 3, Execution time: 884 ms, Total distance: 609.821
Instance: chao_1.30c, Solution: SolutionR, Run: 4, Execution time: 881 ms, Total distance: 616.706
Instance: chao_1.30c, Solution: SolutionR, Run: 5, Execution time: 875 ms, Total distance: 579.369
Instance: chao_1.30c, Solution: SolutionR, Run: 6, Execution time: 892 ms, Total distance: 602.923
Instance: chao_1.30c, Solution: SolutionR, Run: 7, Execution time: 880 ms, Total distance: 592.202
Instance: chao_1.30c, Solution: SolutionR, Run: 8, Execution time: 888 ms, Total distance: 570.591
Instance: chao_1.30c, Solution: SolutionR, Run: 9, Execution time: 903 ms, Total distance: 582.984
Instance: chao_1.30c, Solution: SolutionR, Run: 10, Execution time: 898 ms, Total distance: 587.084
