Instance,Solution,Run,Time,Value
chao_1.40b,B,1,1787,686.585
chao_1.40b,B,2,1727,676.229
chao_1.40b,B,3,1751,685.191
chao_1.40b,B,4,1742,719.419
chao_1.40b,B,5,1721,688.851
chao_1.40b,B,6,1732,708.573
chao_1.40b,B,7,1727,698.341
chao_1.40b,B,8,1735,669.247
chao_1.40b,B,9,1746,707.884
chao_1.40b,B,10,1752,699.637
chao_1.40b,C,1,1755,713.576
chao_1.40b,C,2,1810,704.882
chao_1.40b,C,3,1791,719.249
chao_1.40b,C,4,1814,712.53
chao_1.40b,C,5,1766,679.128
chao_1.40b,C,6,1775,695.22
chao_1.40b,C,7,1786,728.254
chao_1.40b,C,8,1769,734.343
chao_1.40b,C,9,1863,685.158
chao_1.40b,C,10,1799,712.89
chao_1.40b,R,1,1742,743.322
chao_1.40b,R,2,1730,761.92
chao_1.40b,R,3,1754,752.074
chao_1.40b,R,4,1720,734.42
chao_1.40b,R,5,1761,738.712
chao_1.40b,R,6,1735,720.575
chao_1.40b,R,7,1747,756.629
chao_1.40b,R,8,1736,770.621
chao_1.40b,R,9,1745,741.566
chao_1.40b,R,10,1748,742.692
chao_1.40c,B,1,1420,725.536
chao_1.40c,B,2,1402,679.288
chao_1.40c,B,3,1397,722.48
chao_1.40c,B,4,1401,673.783
chao_1.40c,B,5,1410,741.432
chao_1.40c,B,6,1407,686.621
chao_1.40c,B,7,1428,739.011
chao_1.40c,B,8,1492,701.441
chao_1.40c,B,9,1426,738.101
chao_1.40c,B,10,1427,736.161
chao_1.40c,C,1,1600,720.85
chao_1.40c,C,2,1582,750.395
chao_1.40c,C,3,1626,666.898
chao_1.40c,C,4,1626,681.872
chao_1.40c,C,5,1590,662.529
chao_1.40c,C,6,1596,722.149
chao_1.40c,C,7,1572,713.872
chao_1.40c,C,8,1556,711.459
chao_1.40c,C,9,1579,680.371
chao_1.40c,C,10,1596,689.367
chao_1.40c,R,1,1365,765.082
chao_1.40c,R,2,1377,756.594
chao_1.40c,R,3,1377,788.845
chao_1.40c,R,4,1392,724.749
chao_1.40c,R,5,1416,762.278
chao_1.40c,R,6,1389,776.368
chao_1.40c,R,7,1395,759.327
chao_1.40c,R,8,1396,744.91
chao_1.40c,R,9,1406,768.039
chao_1.40c,R,10,1374,771.037
chao_10.25,B,1,754,525.251
chao_10.25,B,2,746,525.644
chao_10.25,B,3,742,489.198
chao_10.25,B,4,753,505.315
chao_10.25,B,5,758,505.441
chao_10.25,B,6,756,510.362
chao_10.25,B,7,749,525.142
chao_10.25,B,8,748,517.933
chao_10.25,B,9,752,543.853
chao_10.25,B,10,751,529.058
chao_10.25,C,1,789,524.344
chao_10.25,C,2,755,533.345
chao_10.25,C,3,756,528.483
chao_10.25,C,4,770,515.821
chao_10.25,C,5,766,547.505
chao_10.25,C,6,756,525.063
chao_10.25,C,7,771,542.845
chao_10.25,C,8,773,565.66
chao_10.25,C,9,767,552.442
chao_10.25,C,10,771,551.659
chao_10.25,R,1,748,583.398
chao_10.25,R,2,749,594.688
chao_10.25,R,3,747,606.864
chao_10.25,R,4,745,578.324
chao_10.25,R,5,739,542.787
chao_10.25,R,6,752,586.171
chao_10.25,R,7,739,596.728
chao_10.25,R,8,758,589.749
chao_10.25,R,9,743,563.082
chao_10.25,R,10,753,581.71
chao_10.30a,B,1,1071,589.539
chao_10.30a,B,2,1086,636.954
chao_10.30a,B,3,1064,615.867
chao_10.30a,B,4,1073,631.509
chao_10.30a,B,5,1058,614.939
chao_10.30a,B,6,1114,620.037
chao_10.30a,B,7,1134,591.772
chao_10.30a,B,8,1059,584.591
chao_10.30a,B,9,1060,600.191
chao_10.30a,B,10,1072,600.018
chao_10.30a,C,1,1085,657.772
chao_10.30a,C,2,1082,664.274
chao_10.30a,C,3,1097,601.027
chao_10.30a,C,4,1103,637.539
chao_10.30a,C,5,1087,663.78
chao_10.30a,C,6,1089,656.4
chao_10.30a,C,7,1084,639.852
chao_10.30a,C,8,1099,639.554
chao_10.30a,C,9,1095,622.612
chao_10.30a,C,10,1092,641.453
chao_10.30a,R,1,1067,678.964
chao_10.30a,R,2,1074,680.32
chao_10.30a,R,3,1091,679.572
chao_10.30a,R,4,1073,644.138
chao_10.30a,R,5,1117,681.489
chao_10.30a,R,6,1066,659.755
chao_10.30a,R,7,1069,634.67
chao_10.30a,R,8,1071,645.854
chao_10.30a,R,9,1071,640.507
chao_10.30a,R,10,1075,672.003
chao_10.30b,B,1,1083,559.655
chao_10.30b,B,2,1056,560.061
chao_10.30b,B,3,1062,540.899
chao_10.30b,B,4,1052,566.531
chao_10.30b,B,5,1169,562.193
chao_10.30b,B,6,1053,548.431
chao_10.30b,B,7,1037,550.482
chao_10.30b,B,8,1051,552.214
chao_10.30b,B,9,1139,552.845
chao_10.30b,B,10,1100,552.187
chao_10.30b,C,1,1081,585.261
chao_10.30b,C,2,1089,614.938
chao_10.30b,C,3,1102,597.093
chao_10.30b,C,4,1075,603.694
chao_10.30b,C,5,1085,592.306
chao_10.30b,C,6,1094,569.492
chao_10.30b,C,7,1075,604.392
chao_10.30b,C,8,1071,579.197
chao_10.30b,C,9,1089,575.821
chao_10.30b,C,10,1076,579.251
chao_10.30b,R,1,1054,643.673
chao_10.30b,R,2,1054,636.978
chao_10.30b,R,3,1052,609.864
chao_10.30b,R,4,1072,654.819
chao_10.30b,R,5,1058,643.031
chao_10.30b,R,6,1064,636.102
chao_10.30b,R,7,1065,643.861
chao_10.30b,R,8,1053,621.918
chao_10.30b,R,9,1049,605.187
chao_10.30b,R,10,1048,646.85
chao_10.30c,B,1,904,686.278
chao_10.30c,B,2,887,624.335
chao_10.30c,B,3,888,623.382
chao_10.30c,B,4,980,630.374
chao_10.30c,B,5,919,648.044
chao_10.30c,B,6,901,680.63
chao_10.30c,B,7,902,620.952
chao_10.30c,B,8,890,636.446
chao_10.30c,B,9,907,646.864
chao_10.30c,B,10,895,677.373
chao_10.30c,C,1,970,637.721
chao_10.30c,C,2,985,634.639
chao_10.30c,C,3,980,643.564
chao_10.30c,C,4,984,655.045
chao_10.30c,C,5,993,673.638
chao_10.30c,C,6,997,601.238
chao_10.30c,C,7,968,598.229
chao_10.30c,C,8,981,661.124
chao_10.30c,C,9,978,651.765
chao_10.30c,C,10,1006,660.805
chao_10.30c,R,1,916,673.625
chao_10.30c,R,2,919,665.685
chao_10.30c,R,3,916,698.157
chao_10.30c,R,4,911,662.672
chao_10.30c,R,5,914,703.134
chao_10.30c,R,6,913,693.353
chao_10.30c,R,7,916,687.445
chao_10.30c,R,8,897,649.251
chao_10.30c,R,9,904,702.123
chao_10.30c,R,10,916,645.959
chao_10.40a,B,1,1764,814.948
chao_10.40a,B,2,1709,824.969
chao_10.40a,B,3,1733,820.174
chao_10.40a,B,4,1784,825.442
chao_10.40a,B,5,1739,838.432
chao_10.40a,B,6,1722,785.012
chao_10.40a,B,7,1735,814.047
chao_10.40a,B,8,1716,839.034
chao_10.40a,B,9,1715,794.771
chao_10.40a,B,10,1732,799.324
chao_10.40a,C,1,1762,827.657
chao_10.40a,C,2,1788,816.155
chao_10.40a,C,3,1806,808.032
chao_10.40a,C,4,1782,807.35
chao_10.40a,C,5,1767,826.399
chao_10.40a,C,6,1792,813.109
chao_10.40a,C,7,1784,854.134
chao_10.40a,C,8,1763,818.149
chao_10.40a,C,9,1784,812.406
chao_10.40a,C,10,1845,845.828
chao_10.40a,R,1,1769,856.503
chao_10.40a,R,2,1805,863.067
chao_10.40a,R,3,1740,884.257
chao_10.40a,R,4,1754,877.387
chao_10.40a,R,5,1740,902.377
chao_10.40a,R,6,1735,867.305
chao_10.40a,R,7,1744,856.284
chao_10.40a,R,8,1770,849.964
chao_10.40a,R,9,1762,858.566
chao_10.40a,R,10,1730,834.532
chao_10.40b,B,1,1742,699.498
chao_10.40b,B,2,1731,745.385
chao_10.40b,B,3,1732,726.867
chao_10.40b,B,4,1715,686.93
chao_10.40b,B,5,1732,705.559
chao_10.40b,B,6,1705,715.844
chao_10.40b,B,7,1734,702.67
chao_10.40b,B,8,1705,711.303
chao_10.40b,B,9,1712,725.073
chao_10.40b,B,10,1773,711.936
chao_10.40b,C,1,1743,705.072
chao_10.40b,C,2,1745,744.712
chao_10.40b,C,3,1787,668.233
chao_10.40b,C,4,1780,741.621
chao_10.40b,C,5,1789,761.623
chao_10.40b,C,6,1749,691.505
chao_10.40b,C,7,1781,755.182
chao_10.40b,C,8,1755,750.534
chao_10.40b,C,9,1779,765.948
